panstwo,rok,udzial_ev_procent,udzial_ev_dopasowany_procent
Finlandia,2011,0.02,0.3123673758279087
Finlandia,2012,0.1699999999999999,0.27115586263587055
Finlandia,2013,0.18,0.26010336056255695
Finlandia,2014,0.4,0.2587734928220458
Finlandia,2015,0.6,0.32136107037536493
Finlandia,2016,1.19,0.390575851974882
Finlandia,2017,2.57,0.5454101472533749
Finlandia,2018,4.72,0.6864127967787953
Finlandia,2019,6.9,0.8390224149802984
Finlandia,2020,18.130000000000003,5.450437283241709
Finlandia,2021,30.79,7.862309804134814
Finlandia,2022,37.59,12.224152602141206
Finlandia,2023,54.58,19.03622067497875
Finlandia,2024,49.6,24.59104516230456
Finlandia,2025,57.370000000000005,73.08588770612681
Francja,2009,0.0,0.1381722663957819
Francja,2010,0.01,0.17396815299124244
Francja,2011,0.12,0.20232919608102018
Francja,2012,0.3399999999999999,0.19395814033560677
Francja,2013,0.54,0.25144996294874283
Francja,2014,0.69,0.28680670522308666
Francja,2015,1.21,0.3676355145191888
Francja,2016,1.49,0.42206230622038615
Francja,2017,1.78,0.4839463858972458
Francja,2018,2.14,0.559694977825293
Francja,2019,2.83,0.8961306538812426
Francja,2020,11.239999999999998,4.2182398980886715
Francja,2021,18.3,5.83251379325662
Francja,2022,21.52,7.997332566807695
Francja,2023,25.86,16.201903897658624
Francja,2024,25.44,24.841451541994324
Francja,2025,26.700000000000003,73.40033826594647
Grecja,2009,0.0,0.0579316853412625
Grecja,2010,0.0,0.03211248254002894
Grecja,2011,0.0,0.018663195994743868
Grecja,2012,0.0,0.015365526206207524
Grecja,2015,0.0699999999999999,0.02693287385499843
Grecja,2016,0.05,0.027639642998728692
Grecja,2017,0.21,0.028647774937802007
Grecja,2018,0.25,0.030709746220610613
Grecja,2019,0.42,0.033860714303365055
Grecja,2020,2.65,0.1518011199664064
Grecja,2021,6.859999999999999,0.262017308156559
Grecja,2022,7.56,0.5118974869303791
Grecja,2023,11.01,0.9622578562829779
