panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Hiszpania,2020,43203.0,43481.0,0.17,0.18,18233.0,23759.0,2.14,2.79,86684.0,0.35,41992.0,4.93,25131.2,0.22685,1.1779389999999998,1.0731152,4.0833,8.245572999999998,6.438691199999999,0.4952111878701456,0.6341816796556419,1,0,5741.0,4601.0,1140.0,47318050,12.132790763778305
Hiszpania,2021,66085.0,81355.0,0.27,0.33,24230.0,43069.0,2.82,5.01,147440.0,0.6000000000000001,67299.0,7.83,28285.0,0.25695,1.3802679591836735,1.2452332653061224,4.6251,9.661875714285715,7.471399591836734,0.4786958699087266,0.6190406420041291,1,0,8591.0,6967.0,1624.0,47400798,18.12416744545102
Hiszpania,2022,95617.0,121285.0,0.38,0.48,31412.0,47925.0,3.86,5.89,216902.0,0.86,79337.0,9.75,31781.2,0.32105,1.7809982352941176,1.79491,5.7789,12.466987647058824,10.76946,0.4635361936340205,0.5366007209275117,1,0,22090.0,18347.0,3743.0,47486843,46.51814819528011
Hiszpania,2023,150282.0,180253.0,0.59,0.71,54845.0,62171.0,5.78,6.55,330535.0,1.2999999999999998,117016.0,12.33,34768.5,0.2400499999999999,1.6360392307692306,1.560988076923077,4.3209,11.452274615384614,9.365928461538465,0.3772962267421917,0.461342409110206,1,0,30372.0,24930.0,5442.0,48085361,63.16267439481218
Hiszpania,2024,181784.0,235506.0,0.68,0.88,58856.0,58485.0,5.79,5.75,417290.0,1.56,117341.0,11.54,36413.1,0.2422,1.5777730188679244,1.4709988679245285,4.3596,11.04441113207547,8.825993207547171,0.3947335849657692,0.4939500742275753,1,0,45213.0,35982.0,9231.0,48619695,92.9931789987576
Hiszpania,2025,281653.0,360453.0,1.05,1.35,105568.0,125827.0,9.19,10.96,642106.0,2.4000000000000004,231395.0,20.15,38135.7,0.26405,1.4954922028846154,1.425459285057692,4.7529,10.468445420192309,8.552755710346153,0.4540215675989729,0.5557156267482867,2,0,46902.0,34958.0,11944.0,49128297,95.46840184588528
Holandia,2020,173797.0,98403.0,1.98,1.12,73129.0,15933.0,20.43,4.45,272200.0,3.1,89062.0,24.88,39986.8,0.1392,1.565,1.2382,2.5056,10.955,7.4292,0.2287174806024646,0.3372637699886932,1,0,64457.0,63043.0,1414.0,17407585,370.2811159618063
Holandia,2021,245091.0,138145.0,2.78,1.56,64419.0,31049.0,19.89,9.59,383236.0,4.34,95468.0,29.48,43741.8,0.136,1.8178571428571428,1.4643877551020408,2.4480000000000004,12.725,8.786326530612245,0.19237721021611,0.2786147306807888,1,0,84588.0,82900.0,1688.0,17475415,484.0400070613487
Holandia,2022,330113.0,186945.0,3.71,2.1,73126.0,34411.0,23.32,10.97,517058.0,5.8100000000000005,107537.0,34.29,48540.1,0.0877,2.0738768627450983,1.9560986274509804,1.5786,14.517138039215688,11.736591764705882,0.108740441520613,0.1345024204341114,1,0,114310.0,111556.0,2754.0,17590672,649.8330478790123
Holandia,2023,444669.0,262332.0,4.98,2.94,113587.0,46920.0,30.52,12.61,707001.0,7.92,160507.0,43.13,50216.4,0.3029,1.9220192307692308,1.71475,5.4522,13.454134615384616,10.2885,0.4052434553290024,0.5299314768916753,1,0,144450.0,140561.0,3889.0,17811291,811.0024141428041
