panstwo,rok,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla
Czechy,2016,0.14205,1.058425,1.0130210000000002,2.5569,7.408975,6.078126000000001,0.34510846642079374,0.42067242436237745
Czechy,2017,0.14629999999999999,1.1509200000000002,1.119802,2.6334,8.056440000000002,6.718812,0.3268689396309039,0.3919442901512946
Czechy,2018,0.15794999999999998,1.2527136,1.2325542,2.8430999999999997,8.7689952,7.3953252,0.32422186751795684,0.3844455683977223
Czechy,2019,0.1759,1.2418142857142858,1.23371,3.1662,8.6927,7.40226,0.3642366583455083,0.4277342325181769
Czechy,2020,0.18180000000000002,1.0678868,1.0595080000000001,3.2724,7.475207599999999,6.357048000000001,0.437767106294145,0.5147672315829611
Czechy,2021,0.18425,1.2819434693877552,1.221791224489796,3.3165,8.973604285714286,7.330747346938775,0.3695839368891907,0.45240953521402255
Czechy,2022,0.20829999999999999,1.6959911764705882,1.7638409803921569,3.7493999999999996,11.871938235294117,10.583045882352941,0.3158203762257959,0.354283638347639
Czechy,2023,0.31705,1.5741259615384615,1.500223653846154,5.7069,11.01888173076923,9.001341923076923,0.5179200702430627,0.6340054681590425
Czechy,2024,0.33415,1.4879896026782085,1.4512523000535489,6.0147,10.41592721874746,8.707513800321294,0.577452191598866,0.690748259253757
Czechy,2025,0.3198,1.4065505531798166,1.3736179792881618,5.756399999999999,9.845853872258717,8.24170787572897,0.5846521870712504,0.6984474682671099
Dania,2008,0.271,1.387209387755102,1.2857344897959182,4.878,9.710465714285714,7.714406938775509,0.5023445984494491,0.6323233968228119
Dania,2009,0.2627,1.2810302000000002,1.045871,4.7286,8.967211400000002,6.275226,0.527321124602906,0.7535346137334337
Dania,2010,0.26890000000000003,1.4409142857142858,1.2119095918367349,4.8402,10.086400000000001,7.27145755102041,0.4798738895939086,0.6656437125622456
Dania,2011,0.2942,1.6102555102040816,1.4134818367346937,5.2956,11.271788571428571,8.480891020408162,0.46981008971576577,0.6244155227625054
Dania,2012,0.29845,1.7002977551020408,1.4914883673469388,5.3721,11.902084285714286,8.948930204081632,0.4513579194232366,0.6003063916567111
Dania,2013,0.2968,1.6770614000000001,1.4819854000000001,5.3424000000000005,11.739429800000002,8.8919124,0.45508172807507224,0.6008156355656405
Dania,2014,0.30385,1.6463885714285713,1.4549069387755103,5.4693000000000005,11.524719999999999,8.729441632653062,0.474571182640446,0.626534918286379
